protein	lifestyle	call	catalytic_residues
Ramac1_1635085	SAP	intact	EE
Ramac1_173906	SAP	intact	EE
Ramac1_185215	SAP	intact	EE
Punst1_133887	PATH	intact	EE
Punst1_135022	PATH	intact	EE
Punst1_71001	PATH	intact	EE
Punst1_75975	PATH	intact	EE
Punst1_76048	PATH	intact	EE
Ser411_1_1255841	ORM	intact	EE
Gyresc1_458319	SAP	intact	EE
Gyresc1_484603	SAP	intact	EE
Kalpfe1_808153	ECM	intact	EE
Gaumor1_1_2715125	ECM	intact	EE
Leuca1_1190748	ECM	intact	EE
Melva1_413956	ERM	intact	EE
Melva1_419370	ERM	intact	EE
Melva1_434275	ERM	intact	EE
Melva1_443781	ERM	intact	EE
Melva1_503946	ERM	intact	EE
Melva1_556224	ERM	intact	EE
Melva1_556996	ERM	intact	EE
Melva1_580013	ERM	intact	EE
Melva1_633946	ERM	intact	EE
Xylhyp1_331438	SAP	intact	EE
Xylhyp1_454159	SAP	intact	EE
Xylhyp1_509529	SAP	intact	EE
Xylhyp1_578047	SAP	intact	EE
Xylhyp1_579992	SAP	intact	EE
Descmac1_2906317	ECM	intact	EE
Descmac1_2907232	ECM	intact	EE
Pilbys1_1189959	ECM	intact	EE
MelPMI1271_1_287063	ERM	intact	EE
MelPMI1271_1_334428	ERM	intact	EE
MelPMI1271_1_347349	ERM	intact	EE
MelPMI1271_1_419003	ERM	intact	EE
Cananz1_3144789	ECM	intact	EE
Sisni1_460260	WD	intact	EE
Sisni1_470861	WD	intact	EE
Sisni1_473063	WD	intact	EE
Plicr1_299358	WD	intact	EE
ClaPMI390_2034677	SAP	intact	EE
ClaPMI390_2049036	SAP	intact	EE
ClaPMI390_2077949	SAP	intact	EE
ClaPMI390_2127696	SAP	intact	EE
ClaPMI390_289045	SAP	intact	EE
Chapip1_1534134	ECM	intact	EE
Tulinq1_1087310	ORM	intact	EE
Tulinq1_1363497	ORM	disrupted	EQ
Tulinq1_1365510	ORM	intact	EE
Tulinq1_1398770	ORM	intact	EE
Tulinq1_1427670	ORM	intact	EE
Tulinq1_1432276	ORM	intact	EE
Tulinq1_1655715	ORM	intact	EE
Tulinq1_1656458	ORM	intact	EE
Tulinq1_1656460	ORM	intact	EE
Tulinq1_1667276	ORM	intact	EE
Tulinq1_1774498	ORM	intact	EE
Tulinq1_1776312	ORM	intact	EE
Tulinq1_819287	ORM	intact	EE
Hetan2_38802	PATH	intact	EE
Ser405_1_1134532	ORM	fragment	--
Morco1_482264	ECM	intact	EE
Morco1_610143	ECM	intact	EE
Phlbr1_124166	WD	intact	EE
Phlbr1_127050	WD	intact	EE
Phlbr1_82426	WD	intact	EE
Phlbr1_88958	WD	intact	EE
Thacu1_202451	PATH	intact	EE
Thacu1_572067	PATH	intact	EE
Thacu1_575328	PATH	intact	EE
Thacu1_575441	PATH	intact	EE
Thacu1_575607	PATH	intact	EE
Thacu1_584341	PATH	intact	EE
Thacu1_616881	PATH	intact	EE
Thacu1_630007	PATH	intact	EE
Thacu1_695751	PATH	intact	EE
Thacu1_698470	PATH	intact	EE
Thacu1_714278	PATH	intact	EE
Thacu1_739951	PATH	disrupted	AE
Penswi1_267911	ECM	intact	EE
Penswi1_315743	ECM	intact	EE
Aurpu_var_pul1_320007	SAP	intact	EE
Ser400_1_1201847	ORM	intact	EE
Matter1_832529	ECM	intact	EE
Matter1_923177	ECM	intact	EE
Matter1_950316	ECM	intact	EE
Matter1_975820	ECM	intact	EE
Ascim1_204802	SAP	intact	EE
Ascim1_215784	SAP	intact	EE
Ascim1_363805	SAP	intact	EE
Ascim1_366555	SAP	intact	EE
Ascim1_366874	SAP	intact	EE
Hypsu1_134940	WD	intact	EE
Hypsu1_181867	WD	intact	EE
Hypsu1_53226	WD	intact	EE
Hypsu1_57020	WD	intact	EE
Botbo1_156723	SAP	intact	EE
Botbo1_160054	SAP	intact	EE
Botbo1_162609	SAP	intact	EE
Botbo1_179948	SAP	intact	EE
Botbo1_186392	SAP	intact	EE
Botbo1_186393	SAP	intact	EE
Botbo1_266404	SAP	intact	EE
Phisc1_595918	ENDO	intact	EE
Phisc1_650591	ENDO	intact	EE
Phisc1_668883	ENDO	intact	EE
Phisc1_702580	ENDO	intact	EE
Phisc1_706461	ENDO	intact	EE
Phisc1_709406	ENDO	intact	EE
Phisc1_756657	ENDO	intact	EE
Hebcy2_447162	ECM	intact	EE
Tulca1_215923	ORM	intact	EE
Tulca1_222508	ORM	intact	EE
Tulca1_230141	ORM	intact	EE
Tulca1_23308	ORM	disrupted	EQ
Tulca1_23387	ORM	disrupted	EQ
Tulca1_235378	ORM	intact	EE
Tulca1_24303	ORM	fragment	-E
Tulca1_25136	ORM	fragment	--
Tulca1_27815	ORM	disrupted	EQ
Tulca1_29198	ORM	fragment	--
Tulca1_29199	ORM	fragment	--
Tulca1_29200	ORM	disrupted	EQ
Tulca1_33433	ORM	intact	EE
Tulca1_67166	ORM	intact	EE
Tulca1_69254	ORM	intact	EE
Tulca1_71068	ORM	intact	EE
Tulca1_73188	ORM	disrupted	EQ
Tulca1_73349	ORM	intact	EE
Tulca1_75537	ORM	intact	EE
Tulca1_75572	ORM	fragment	--
Tulca1_77469	ORM	intact	EE
Tulca1_79541	ORM	intact	EE
Sebve1_28741	ORM	intact	EE
Sebve1_29814	ORM	intact	EE
Sebve1_331475	ORM	intact	EE
Sebve1_332529	ORM	intact	EE
Sebve1_83195	ORM	intact	EE
Tercla1_1274430	ECM	intact	EE
Rhier1_570703	ERM	intact	EE
Rhier1_574027	ERM	intact	EE
Serend1_817681	ORM	intact	EE
Schco3_2609170	WD	intact	EE
Schco3_2633816	WD	intact	EE
Trima3_1246307	ECM	intact	EE
Trima3_1356709	ECM	intact	EE
Cenge3_684581	ECM	fragment	-H
Gyman1_1004735	SAP	intact	EE
Gyman1_525807	SAP	intact	EE
Gyman1_824834	SAP	intact	EE
Gyman1_864546	SAP	intact	EE
Gyman1_913025	SAP	intact	EE
Gyman1_922197	SAP	intact	EE
Gyman1_923719	SAP	intact	EE
Gyman1_958543	SAP	intact	EE
Gyman1_966038	SAP	intact	EE
Gyman1_984549	SAP	intact	EE
Trire2_122081	SAP	intact	EE
