protein	lifestyle	call	catalytic_residues
Ramac1_1332631	SAP	intact	EE
Ramac1_1337132	SAP	intact	EE
Ramac1_1338606	SAP	intact	EE
Ramac1_1368985	SAP	intact	EE
Ramac1_1384855	SAP	intact	EE
Ramac1_1418538	SAP	intact	EE
Ramac1_1559833	SAP	intact	EE
Ramac1_1630448	SAP	intact	EE
Ramac1_1632930	SAP	intact	EE
Ramac1_1633720	SAP	intact	EE
Ramac1_1635618	SAP	intact	EE
Ramac1_1644934	SAP	intact	EE
Ramac1_1653752	SAP	disrupted	DG
Ramac1_1654554	SAP	intact	EE
Ramac1_483108	SAP	intact	EE
Ramac1_841624	SAP	intact	EE
Ramac1_876954	SAP	intact	EE
Ramac1_918486	SAP	intact	EE
Rhivi1_678458	ECM	disrupted	DG
Rhivi1_686543	ECM	intact	EE
Rhivi1_688288	ECM	intact	EE
Rhivi1_693881	ECM	intact	EE
Rhivi1_717469	ECM	intact	EE
Rhivi1_719951	ECM	intact	EE
Rhivi1_766935	ECM	intact	EE
Rhivi1_768413	ECM	fragment	-E
Rhivi1_769628	ECM	intact	EE
Rhivi1_771632	ECM	intact	EE
Rhivi1_781266	ECM	intact	EE
Rhivi1_791593	ECM	intact	EE
Rhivi1_818091	ECM	disrupted	DG
Rhivi1_851655	ECM	intact	EE
Rhivi1_865906	ECM	intact	EE
Punst1_100950	PATH	intact	EE
Punst1_107664	PATH	intact	EE
Punst1_111907	PATH	intact	EE
Punst1_113745	PATH	intact	EE
Punst1_115160	PATH	intact	EE
Punst1_116613	PATH	intact	EE
Punst1_129712	PATH	intact	EE
Punst1_130339	PATH	intact	EE
Punst1_133005	PATH	intact	EE
Punst1_145576	PATH	intact	EE
Punst1_16924	PATH	intact	EE
Punst1_27236	PATH	intact	EE
Punst1_68261	PATH	intact	EE
Punst1_70609	PATH	intact	EE
Punst1_78795	PATH	intact	EE
Punst1_95322	PATH	intact	EE
Calful1_201250	SAP	intact	EE
Calful1_726510	SAP	intact	EE
Calful1_731348	SAP	intact	EE
Calful1_764124	SAP	intact	EE
Calful1_826580	SAP	intact	EE
Calful1_845646	SAP	disrupted	ES
Calful1_889678	SAP	intact	EE
Bolcoc1_2025929	ECM	intact	EE
Bolcoc1_2026228	ECM	intact	EE
Bolcoc1_2059541	ECM	intact	EE
Bolcoc1_2080412	ECM	intact	EE
Bolcoc1_2091753	ECM	intact	EE
Bolcoc1_2106374	ECM	intact	EE
Bolcoc1_2115761	ECM	disrupted	DA
Bolcoc1_2170470	ECM	intact	EE
Bolcoc1_2173453	ECM	intact	EE
Bolcoc1_2177276	ECM	intact	EE
Bolcoc1_2206108	ECM	fragment	-E
Bolcoc1_2206793	ECM	intact	EE
Bolcoc1_5609	ECM	intact	EE
Pisthe227_1_1870891	ECM	intact	EE
Pisthe227_1_2052390	ECM	intact	EE
Pisthe227_1_2053629	ECM	intact	EE
Pisthe227_1_2067456	ECM	intact	EE
Pisthe227_1_2076580	ECM	disrupted	DA
Pisthe227_1_2076582	ECM	disrupted	DA
Pisthe227_1_2149071	ECM	intact	EE
Pisthe227_1_2182784	ECM	intact	EE
Pisthe227_1_2198441	ECM	intact	EE
Pisthe227_1_2210445	ECM	intact	EE
Pisthe227_1_2212834	ECM	disrupted	DA
Amapyr1_2060677	ECM	disrupted	DA
Amapyr1_2060690	ECM	disrupted	DA
Amapyr1_2196071	ECM	intact	EE
Amapyr1_2207561	ECM	intact	EE
Amapyr1_2211775	ECM	intact	EE
Amapyr1_2222349	ECM	intact	EE
Amapyr1_2234712	ECM	intact	EE
Amapyr1_2259220	ECM	intact	EE
Amapyr1_2290806	ECM	disrupted	DS
Amapyr1_2352030	ECM	intact	EE
Amapyr1_2421909	ECM	intact	EE
Amapyr1_2422401	ECM	intact	EE
Amapyr1_2444131	ECM	intact	EE
Lacpsa1_1112595	ECM	intact	EE
Lacpsa1_1113825	ECM	intact	EE
Lacpsa1_1203461	ECM	disrupted	KE
Lacpsa1_1240285	ECM	disrupted	DG
Lacpsa1_1269420	ECM	intact	EE
Lacpsa1_1288708	ECM	intact	EE
Lacpsa1_1362916	ECM	intact	EE
Lacpsa1_835800	ECM	intact	EE
Lacpsa1_957376	ECM	intact	EE
Ser411_1_1232215	ORM	intact	EE
Ser411_1_1235471	ORM	intact	EE
Ser411_1_1236590	ORM	intact	EE
Ser411_1_1239419	ORM	disrupted	DG
Ser411_1_1240138	ORM	intact	EE
Ser411_1_1243620	ORM	intact	EE
Ser411_1_1253662	ORM	intact	EE
Ser411_1_1255653	ORM	intact	EE
Ser411_1_1256142	ORM	intact	EE
Ser411_1_1271393	ORM	intact	EE
Ser411_1_1298721	ORM	fragment	E-
Ser411_1_1301083	ORM	intact	EE
Ser411_1_1306187	ORM	intact	EE
Ser411_1_1339977	ORM	intact	EE
Ser411_1_1370826	ORM	intact	EE
Ser411_1_1371227	ORM	intact	EE
Ser411_1_1375975	ORM	intact	EE
Ser411_1_1382775	ORM	intact	EE
Ser411_1_1391253	ORM	intact	EE
Ser411_1_1393591	ORM	intact	EE
Ser411_1_1410652	ORM	intact	EE
Ser411_1_1419136	ORM	intact	EE
Ser411_1_1445529	ORM	intact	EE
Ser411_1_170841	ORM	intact	EE
Ser411_1_171617	ORM	intact	EE
Ser411_1_528154	ORM	intact	EE
Ser411_1_619389	ORM	intact	EE
Ser411_1_660840	ORM	intact	EE
Ser411_1_668111	ORM	intact	EE
Ser411_1_977791	ORM	intact	EE
Suiac1_1307537	ECM	intact	EE
Suiac1_189239	ECM	intact	EE
Suiac1_2382622	ECM	intact	EE
Suiac1_2389838	ECM	intact	EE
Suiac1_2396501	ECM	intact	EE
Suiac1_2397205	ECM	intact	EE
Suiac1_2398893	ECM	intact	EE
Suiac1_2404460	ECM	intact	EE
Suiac1_2408660	ECM	intact	EE
Suiac1_2449514	ECM	intact	EE
Suiac1_2461433	ECM	intact	EE
Suiac1_2487117	ECM	disrupted	DA
Suiac1_2548578	ECM	disrupted	DG
Suiac1_2548612	ECM	disrupted	DG
Suiac1_2579383	ECM	intact	EE
Suiac1_2599791	ECM	disrupted	DG
Suiac1_2603971	ECM	intact	EE
Suiac1_2611002	ECM	disrupted	DG
Suiac1_2628655	ECM	intact	EE
Suiac1_2635935	ECM	intact	EE
Suiac1_2673366	ECM	intact	EE
Suiac1_2714092	ECM	disrupted	DG
Suiac1_2718624	ECM	intact	EE
Suiac1_470941	ECM	disrupted	DE
Gyresc1_282932	SAP	intact	EE
Gyresc1_467999	SAP	intact	EE
Gyresc1_482852	SAP	intact	EE
Gyresc1_483408	SAP	intact	EE
Gyresc1_509644	SAP	disrupted	EK
Gyresc1_513646	SAP	intact	EE
Gyresc1_517109	SAP	intact	EE
Gyresc1_522325	SAP	disrupted	EA
Gyresc1_527795	SAP	intact	EE
Gyresc1_529310	SAP	intact	EE
Gyresc1_536007	SAP	intact	EE
Gyresc1_574264	SAP	intact	EE
Gyresc1_579828	SAP	intact	EE
Gyresc1_607685	SAP	intact	EE
